K,Fold1_Accuracy,Fold2_Accuracy,Fold3_Accuracy,Fold4_Accuracy,Fold5_Accuracy,Average_Accuracy,Minimum_Accuracy,Maximum_Accuracy,Std_Accuracy
1,88.5,86.5,87.5,88.5,89.5,88.1,86.5,89.5,1.140175425099138
3,86.5,86.0,89.5,91.0,87.0,88.0,86.0,91.0,2.1505813167606567
5,89.5,87.5,87.5,91.0,87.5,88.6,87.5,91.0,1.5968719422671311
7,87.0,88.5,84.5,93.5,88.0,88.3,84.5,93.5,3.2901367752724204
9,88.5,87.0,84.0,93.0,87.0,87.9,84.0,93.0,3.2863353450309964
11,88.0,87.5,82.5,91.0,86.5,87.1,82.5,91.0,3.07001628660175
13,89.0,87.5,82.0,91.0,86.5,87.2,82.0,91.0,3.365263734092768
